[572, 232, 552]
[555, 237, 563]
[578, 243, 577]
[574, 257, 581]
[564, 269, 606]
[563, 269, 613]
[568, 285, 643]
[563, 306, 622]
[577, 274, 665]
[589, 275, 660]
[605, 288, 656]
[633, 276, 671]
[653, 260, 669]
[657, 241, 660]
[659, 263, 651]
[682, 271, 648]
[672, 281, 635]
[700, 291, 631]
[708, 280, 609]
[701, 277, 603]
[727, 259, 592]
[693, 274, 569]
[702, 267, 539]
[687, 279, 531]
[683, 234, 533]
[680, 261, 518]
[661, 247, 512]
[641, 265, 531]
[627, 287, 525]
[608, 290, 524]
[577, 293, 519]
[549, 285, 523]
[532, 294, 523]
[540, 316, 531]
[541, 322, 551]
[535, 309, 568]
[548, 299, 582]
[535, 289, 582]
[546, 309, 604]
[550, 314, 611]
[566, 322, 601]
[578, 314, 626]
[593, 333, 642]
[607, 331, 634]
[616, 333, 660]
[657, 332, 664]
[653, 298, 664]
[669, 313, 669]
[668, 333, 648]
[677, 332, 654]
[672, 343, 631]
[691, 354, 628]
[694, 358, 605]
[709, 356, 587]
[711, 347, 573]
[725, 324, 565]
[710, 339, 543]
[693, 323, 520]
[687, 318, 526]
[680, 305, 514]
[684, 323, 525]
[669, 342, 516]
[652, 351, 531]
[634, 347, 531]
[624, 344, 515]
[602, 355, 537]
[584, 358, 545]
[569, 348, 544]
[571, 360, 558]
[580, 384, 555]
[567, 399, 560]
[565, 401, 563]
[578, 403, 604]
[569, 399, 618]
[563, 367, 626]
[582, 389, 642]
[588, 366, 662]
[594, 365, 675]
[614, 344, 683]
[606, 328, 693]
[662, 395, 672]
[678, 397, 670]
[685, 397, 653]
[700, 388, 668]
[698, 385, 642]
[705, 366, 635]
[720, 379, 625]
[727, 384, 597]
[727, 374, 582]
[749, 364, 573]
[746, 361, 558]
[732, 369, 572]
[718, 379, 548]
[713, 351, 537]
[698, 378, 540]
[687, 385, 524]
[671, 397, 545]
[648, 402, 534]
[628, 392, 548]
[610, 378, 546]
[609, 399, 539]
[591, 421, 556]
[567, 408, 563]
[566, 404, 551]
[548, 394, 553]
[547, 394, 574]
[565, 395, 569]
[539, 405, 581]
[535, 407, 600]
[525, 409, 613]
[530, 429, 610]
[536, 435, 620]
[566, 431, 643]
[563, 433, 653]
[590, 435, 658]
[588, 434, 683]
[594, 418, 680]
[613, 401, 686]
[613, 429, 683]
[633, 437, 672]
[633, 431, 665]
[663, 431, 659]
[665, 437, 640]
[675, 424, 636]
[675, 414, 629]
[685, 422, 605]
[684, 398, 598]
[713, 394, 585]
[692, 415, 568]
[663, 417, 577]
[664, 414, 581]
[659, 404, 545]
[652, 425, 531]
[657, 411, 506]
[629, 393, 499]
[639, 426, 494]
[631, 436, 488]
[612, 444, 484]
[592, 451, 505]
[586, 446, 495]
[552, 456, 513]
[546, 442, 515]
[538, 459, 522]
[540, 475, 532]
[528, 470, 554]
[527, 460, 562]
[536, 446, 577]
[542, 445, 583]
[533, 440, 604]
[553, 444, 628]
[549, 471, 642]
[557, 479, 648]
[578, 477, 662]
[597, 472, 673]
[599, 465, 690]
[614, 436, 697]
[628, 439, 689]
[638, 444, 679]
[643, 477, 675]
[665, 459, 685]
[669, 440, 675]
[688, 449, 669]
[673, 473, 652]
[685, 475, 631]
[677, 441, 606]
[682, 454, 609]
[695, 478, 605]
[698, 494, 568]
[718, 496, 553]
[733, 486, 547]
[728, 475, 530]
[728, 462, 512]
[725, 461, 513]
[709, 479, 494]
[701, 476, 487]
[667, 473, 477]
[667, 450, 464]
[646, 472, 473]
[616, 470, 474]
[607, 487, 491]
[562, 504, 487]
[539, 510, 499]
[515, 509, 506]
[499, 494, 505]
[490, 493, 504]
[505, 504, 526]
[526, 521, 533]
[525, 526, 542]
[542, 528, 561]
[551, 529, 573]
[565, 535, 583]
[574, 517, 612]
[602, 546, 630]
[589, 540, 643]
[586, 514, 649]
[608, 522, 670]
[614, 529, 669]
[635, 546, 668]
[643, 546, 675]
[649, 549, 681]
[656, 534, 696]
[687, 545, 700]
[696, 520, 703]
[709, 539, 733]
[713, 544, 711]
[712, 545, 704]
[704, 549, 686]
[715, 557, 666]
[738, 550, 655]
[729, 542, 652]
[725, 519, 634]
[724, 534, 623]
[724, 538, 593]
[714, 529, 577]
[703, 513, 553]
[721, 516, 534]
[705, 509, 512]
[719, 498, 492]
[709, 520, 489]
[692, 515, 472]
[678, 549, 476]
[661, 538, 464]
[631, 536, 465]
[628, 535, 451]
[590, 535, 453]
[577, 527, 464]
[563, 526, 453]
[539, 525, 485]
[535, 549, 479]
[531, 572, 502]
[513, 565, 520]
[518, 557, 540]
[505, 557, 561]
[511, 571, 578]
[508, 569, 585]
[505, 577, 605]
[510, 560, 604]
[515, 565, 613]
[536, 558, 627]
[549, 560, 637]
[567, 559, 644]
[578, 561, 663]
[604, 549, 669]
[610, 539, 688]
[632, 544, 707]
[639, 575, 710]
[663, 551, 728]
[671, 532, 737]
[681, 551, 726]
[678, 565, 735]
[708, 575, 722]
[707, 579, 706]
[724, 572, 708]
[729, 556, 707]
[724, 557, 691]
[742, 576, 687]
[745, 588, 673]
[726, 589, 642]
[743, 591, 626]
[751, 581, 623]
[747, 556, 601]
[737, 567, 572]
[742, 598, 574]
[745, 607, 549]
[720, 617, 530]
[713, 605, 512]
[717, 595, 491]
[702, 573, 470]
[677, 595, 486]
[658, 606, 470]
[646, 606, 495]
[621, 614, 471]
[604, 591, 490]
[592, 592, 484]
[572, 572, 487]
[539, 580, 480]
[532, 597, 477]
[535, 613, 497]
[532, 614, 503]
[519, 620, 534]
[492, 622, 544]
[489, 614, 551]
[504, 601, 556]
[477, 573, 571]
[490, 619, 584]
[514, 607, 607]
[510, 612, 617]
[511, 617, 648]
[513, 601, 650]
[517, 596, 658]
[523, 590, 682]
[559, 582, 687]
[560, 591, 708]
[580, 590, 710]
[600, 596, 705]
[610, 593, 702]
[633, 591, 711]
[640, 602, 728]
[640, 607, 740]
[652, 600, 710]
[655, 620, 736]
[672, 617, 736]
[691, 616, 737]
[715, 588, 710]
[729, 598, 711]
[739, 589, 714]
[740, 598, 702]
[760, 606, 725]
[787, 613, 700]
[756, 613, 686]
[764, 645, 666]
[762, 664, 636]
[772, 654, 613]
[765, 657, 601]
[769, 635, 589]
[763, 636, 589]
[755, 650, 557]
[733, 666, 529]
[722, 665, 521]
[717, 674, 507]
[705, 674, 503]
[696, 645, 484]
[675, 656, 483]
[662, 654, 463]
[633, 649, 461]
[617, 644, 459]
[591, 644, 465]
[571, 651, 474]
[563, 655, 452]
[568, 672, 445]
