638,600
644,606
614,632
607,643
593,644
573,625
551,628
545,653
564,651
575,674
590,672
602,655
638,664
639,659
646,647
655,645
673,680
687,659
699,643
697,642
695,644
689,647
690,641
663,629
644,643
628,646
632,649
609,645
602,649
588,647
590,636
585,618
580,608
567,595
570,602
569,614
572,623
589,628
597,645
627,613
653,622
668,623
668,643
668,622
670,623
664,623
651,609
647,610
650,610
625,610
606,636
587,615
584,605
598,592
589,580
573,578
566,570
577,569
587,547
574,571
589,587
607,611
630,609
630,606
643,576
659,569
653,597
652,599
653,599
649,598
666,578
654,567
633,592
627,581
606,578
580,587
570,577
569,555
560,545
542,535
537,545
545,548
563,565
581,557
599,564
627,559
644,564
657,567
680,558
692,549
694,569
672,574
662,569
648,560
631,563
628,537
620,533
619,532
588,523
568,506
567,526
583,523
602,523
621,523
642,520
656,521
683,499
690,495
673,521
663,521
646,516
630,517
624,504
621,497
593,488
590,478
576,468
572,491
557,488
550,470
560,496
537,496
538,482
556,496
567,462
586,473
605,491
613,499
623,488
643,486
638,486
643,498
637,498
645,484
620,465
619,458
587,468
572,457
572,437
565,437
567,450
580,457
583,454
602,442
599,418
614,413
620,400
630,396
653,414
645,443
652,444
656,445
658,418
660,448
635,451
627,442
612,425
587,409
598,392
579,398
586,409
611,427
615,410
624,391
622,375
632,372
628,387
617,413
625,418
612,391
588,390
587,387
605,356
604,346
592,351
586,378
569,376
583,367
590,329
606,345
612,345
630,327
623,327
606,297
587,329
582,317
575,316
574,302
603,296
593,310
597,276
613,296
633,303
639,316
625,327
635,310
619,290
609,285
607,284
574,296
565,269
601,286
609,278
615,288
613,287
637,310
635,281
614,291
612,287
616,249
615,248
602,249
575,251
572,253
570,260
565,251
581,246
594,224
599,238
606,257
607,248
612,251
604,227
601,218
587,201
569,227
583,219
563,209
585,188
604,208
610,226
605,198
598,195
585,193
593,186
588,167
605,167
613,165
614,173
600,173
599,179
576,162
577,166
569,146
575,155
598,137
618,140
629,114
627,132
624,141
612,138
595,136
573,141
556,143
554,114
534,97
560,94
567,89
575,78
592,81
602,95
627,96
624,122
597,115
605,140
590,150
573,159
551,152
540,149
547,178
540,173
569,191
564,181
582,160
580,163
605,176
630,186
640,203
631,207
652,213
662,206
679,190
672,181
669,183
650,197
632,194
622,209
610,206
600,208
575,219
556,207
550,187
557,222
546,223
539,209
546,205
545,187
551,226
564,227
577,243
636,247
658,244
669,245
648,252
641,257
631,236
617,226
610,240
600,239
593,223
569,200
555,229
548,245
528,250
508,244
517,250
529,260
533,260
548,259
539,251
552,259
563,261
577,266
581,270
606,288
613,292
643,319
622,357
665,301
660,302
656,305
671,303
669,268
660,262
651,277
648,273
635,288
631,312
609,294
603,285
592,267
569,295
539,286
531,300
533,274
518,279
512,268
531,293
525,318
524,314
519,318
523,301
523,314
531,354
551,349
568,329
582,317
582,313
604,333
611,335
601,345
626,333
642,349
634,348
660,344
664,345
664,311
669,317
648,345
654,342
631,351
628,370
605,378
587,373
573,364
565,338
543,357
520,342
526,338
514,329
525,341
516,351
531,364
531,363
515,356
537,371
545,375
544,375
558,379
555,405
560,414
563,413
604,427
618,416
626,380
642,404
662,376
675,375
683,362
693,375
672,410
670,413
653,413
668,402
642,402
635,375
625,392
597,402
582,391
573,378
558,376
572,382
548,396
537,368
540,396
524,404
545,416
534,422
548,408
546,404
539,420
556,443
563,437
551,424
553,416
574,410
569,410
581,408
600,415
613,419
610,450
620,455
643,441
653,445
658,452
683,447
680,437
686,415
683,443
672,457
665,436
659,442
640,455
636,440
629,426
605,441
598,408
585,403
568,433
577,440
581,439
545,420
531,443
506,439
499,413
494,445
488,448
484,449
505,448
495,465
513,459
515,462
522,463
532,490
554,486
562,465
577,466
583,459
604,454
628,463
642,490
648,498
662,493
673,493
690,482
697,455
689,451
679,461
675,495
685,493
675,454
669,470
652,489
631,492
606,455
609,475
605,499
568,519
553,521
547,507
530,494
512,479
513,469
494,493
487,495
477,491
464,470
473,494
474,487
491,506
487,518
499,518
506,518
505,514
504,509
526,506
533,532
542,533
561,539
573,531
583,533
612,532
630,561
643,560
649,533
670,532
669,563
668,564
675,569
681,570
696,572
700,574
703,536
733,555
711,569
704,563
686,570
666,578
655,571
652,561
634,541
623,571
593,551
577,537
553,529
534,523
512,515
492,519
489,541
472,516
476,568
464,556
465,540
451,532
453,531
464,522
453,531
485,541
479,560
502,583
520,577
540,568
561,574
578,570
585,572
605,591
604,568
613,572
627,563
637,568
644,568
663,583
669,564
688,543
707,565
710,585
728,580
737,559
726,573
735,597
722,607
706,612
708,608
707,566
691,587
687,602
673,619
642,622
626,618
623,605
601,588
572,591
574,623
549,633
530,645
512,611
491,614
470,591
486,614
470,624
495,620
471,635
490,611
484,600
487,579
480,572
477,588
497,612
503,617
534,622
544,616
551,608
556,600
571,573
584,638
607,615
617,612
648,621
650,601
658,597
682,605
687,600
708,616
710,617
705,619
702,624
711,623
728,619
740,619
710,618
736,665
736,660
737,642
710,623
711,623
714,618
702,621
725,639
700,652
686,651
666,672
636,695
613,689
601,687
589,662
589,662
557,662
529,684
521,687
507,705
503,694
484,662
483,652
463,651
461,640
459,636
465,642
474,652
452,655
445,663
